"","alpha","d","result","power"
"1",0.15,0.15,388.744833137919,0.75
"2",0.1,0.2,388.274509499424,0.8
"3",0.1,0.2,325.396625345625,0.75
"4",0.15,0.25,296.877220514016,0.85
"5",0.1,0.25,299.832916421155,0.8
"6",0.05,0.25,343.755839600769,0.75
"7",0.05,0.3,389.618120288715,0.85
"8",0.15,0.3,210.590848812695,0.8
"9",0.1,0.3,218.386446549556,0.75
